Frequency,Amplitude,Phase
2.334994e-02,1.144740e+01,9.228701e-01
2.341220e-02,1.360883e+01,-2.08E+00
2.347447e-02,1.366959e+01,-2.87E+00
2.353674e-02,2.033775e+01,2.123273e+00
2.359900e-02,7.422837e+00,1.527650e+00
2.366127e-02,1.131082e+01,2.958425e+00
2.372354e-02,1.106249e+01,1.056257e+00
2.378580e-02,2.251300e+01,1.912831e+00
2.384807e-02,1.980044e+01,6.340402e-01
2.391034e-02,1.965308e+01,-5.50E-01
2.397260e-02,6.379432e+00,2.776999e+00
2.403487e-02,1.247374e+00,-6.39E-01
2.409714e-02,2.536245e+00,-1.99E+00
2.415940e-02,1.427114e+01,2.137146e+00
2.422167e-02,1.004331e+01,1.409859e+00
2.428394e-02,1.569754e+01,1.742424e+00
2.434620e-02,7.480060e+00,-2.95E+00
2.440847e-02,4.706304e+00,3.419997e-01
2.447073e-02,1.203871e+01,8.941748e-01
2.453300e-02,1.434689e+01,-3.16E-02
2.459527e-02,1.608666e+01,1.346428e+00
2.465753e-02,2.566602e+01,-9.33E-01
2.471980e-02,1.782764e+01,-1.03E+00
2.478207e-02,1.583888e+01,2.456629e+00
2.484433e-02,1.447600e+01,-3.43E-01
2.490660e-02,5.965295e+00,-1.07E+00
2.496887e-02,3.044133e+01,2.321955e+00
2.503113e-02,1.525229e+01,2.705133e+00
2.509340e-02,4.073852e+00,3.120830e+00
2.515567e-02,8.272519e+00,8.893172e-01
2.521793e-02,2.373779e+01,1.317319e+00
2.528020e-02,2.252829e+01,4.899899e-01
2.534247e-02,4.290935e+00,-1.55E+00
2.540473e-02,1.872397e+01,1.639622e+00
2.546700e-02,1.286190e+01,-2.70E-01
2.552927e-02,1.032947e+01,-1.44E+00
2.559153e-02,1.196972e+01,2.935185e+00
2.565380e-02,1.634443e+01,1.633570e+00
2.571606e-02,1.562620e+01,8.372567e-01
2.577833e-02,3.827847e+00,-6.28E-01
2.584060e-02,1.390404e+01,-1.79E+00
2.590286e-02,1.615946e+01,-1.45E+00
2.596513e-02,9.622160e+00,-2.22E+00
2.602740e-02,2.650006e+01,1.190847e+00
2.608966e-02,4.324537e+00,2.912323e+00
2.615193e-02,1.935397e+01,8.492587e-02
2.621420e-02,6.823027e+00,5.541337e-01
2.627646e-02,2.437287e+01,-2.48E-02
2.633873e-02,1.358694e+01,-1.69E+00
2.640100e-02,2.136389e+01,1.940761e+00
2.646326e-02,1.883536e+01,-2.50E+00
2.652553e-02,1.572110e+01,4.647819e-01
2.658780e-02,1.277458e+01,1.762634e+00
2.665006e-02,1.084065e+01,1.487599e+00
2.671233e-02,5.886316e+00,2.666935e-01
2.677460e-02,9.166898e+00,1.084014e+00
2.683686e-02,3.872085e+00,1.740712e+00
2.689913e-02,1.403298e+01,-2.20E+00
2.696139e-02,1.928801e+01,1.801482e-01
2.702366e-02,2.270754e+01,2.248660e+00
2.708593e-02,1.391333e+01,-1.23E+00
2.714819e-02,2.145262e+01,2.141875e+00
2.721046e-02,1.436262e+01,1.732629e+00
2.727273e-02,6.214145e+00,-1.80E+00
2.733499e-02,8.976351e+00,2.377319e+00
2.739726e-02,1.563427e+01,2.536161e+00
2.745953e-02,2.850407e+01,1.836340e+00
2.752179e-02,1.448730e+01,-1.29E-01
2.758406e-02,1.759765e+01,-9.23E-01
2.764633e-02,3.094089e+01,2.565622e+00
2.770859e-02,1.859408e+01,-8.52E-01
2.777086e-02,1.004886e+01,-2.42E+00
2.783313e-02,8.188586e+00,-2.19E-01
2.789539e-02,2.140801e+01,-2.50E+00
2.795766e-02,1.795594e+01,3.037042e+00
2.801993e-02,1.629981e+01,2.151005e+00
2.808219e-02,2.096761e+01,2.347149e+00
2.814446e-02,5.688447e+00,-2.46E-01
2.820672e-02,6.999347e+00,7.232187e-01
2.826899e-02,9.531880e+00,1.633180e+00
2.833126e-02,1.443990e+01,-2.79E+00
2.839352e-02,1.112461e+01,1.617121e+00
2.845579e-02,1.368299e+01,6.861633e-01
2.851806e-02,5.556439e+00,2.430554e+00
2.858032e-02,5.656700e+00,1.508853e+00
2.864259e-02,1.356671e+01,2.264821e+00
2.870486e-02,3.000245e+00,1.211857e+00
2.876712e-02,2.033494e+01,2.958994e+00
2.882939e-02,2.379149e+01,9.014894e-01
2.889166e-02,8.133882e+00,2.433373e+00
2.895392e-02,2.020654e+01,5.959940e-01
2.901619e-02,2.239695e+01,2.452782e+00
2.907846e-02,4.703250e+00,1.082320e+00
2.914072e-02,5.483173e+00,2.079154e+00
2.920299e-02,7.600851e+00,5.798369e-01
2.926526e-02,1.487197e+00,1.098388e+00
2.932752e-02,1.352819e+01,-8.98E-01
2.938979e-02,9.771585e+00,4.247046e-01
2.945205e-02,6.960783e+00,1.890602e+00
2.951432e-02,1.922361e+01,1.140723e+00
2.957659e-02,8.571572e+00,1.115264e+00
2.963885e-02,4.813998e+00,1.925724e+00
2.970112e-02,2.514948e+00,-6.34E-02
2.976339e-02,1.781283e+00,-7.47E-01
2.982565e-02,7.587780e+00,9.880998e-01
2.988792e-02,7.647118e+00,-1.59E+00
2.995019e-02,1.466657e+01,3.007357e+00
3.001245e-02,1.433285e+01,2.426540e+00
3.007472e-02,3.918093e+01,1.718327e+00
3.013699e-02,2.254506e+01,3.267545e-01
3.019925e-02,6.925983e+00,-2.66E-01
3.026152e-02,1.094356e+01,6.677740e-01
3.032379e-02,6.317022e+00,-2.86E+00
3.038605e-02,1.101059e+01,-3.15E-01
3.044832e-02,7.559887e+00,-1.40E+00
3.051059e-02,1.789115e+01,-2.44E+00
3.057285e-02,1.418559e+01,2.445333e+00
3.063512e-02,3.624862e+00,1.475853e+00
3.069738e-02,5.340414e+00,2.233015e+00
3.075965e-02,7.707065e+00,-2.53E+00
3.082192e-02,1.600103e+01,1.846537e+00
3.088418e-02,1.031800e+01,-2.77E+00
3.094645e-02,1.029639e+01,2.733623e+00
3.100872e-02,1.357511e+01,6.134366e-01
3.107098e-02,5.499368e+00,-4.31E-01
3.113325e-02,1.476947e+01,1.350306e+00
3.119552e-02,7.876793e+00,1.941191e+00
3.125778e-02,4.728745e+00,8.604299e-01
3.132005e-02,2.449213e+00,-8.70E-01
3.138232e-02,1.021979e+01,1.854827e+00
3.144458e-02,2.907301e+00,1.725862e+00
3.150685e-02,1.292236e+01,1.040113e+00
3.156912e-02,7.393862e+00,-2.47E+00
3.163138e-02,1.690895e+01,2.305440e+00
3.169365e-02,1.005144e+01,1.755070e+00
3.175592e-02,8.760429e+00,-2.70E+00
3.181818e-02,1.058239e+01,2.666943e+00
3.188045e-02,7.788062e+00,1.359891e+00
3.194271e-02,3.157273e+00,-1.71E+00
3.200498e-02,2.144172e+00,4.651781e-02
3.206725e-02,4.021053e+00,-3.01E+00
3.212951e-02,1.636601e+01,2.390538e+00
3.219178e-02,2.313702e+01,1.485997e+00
3.225405e-02,2.356230e+00,-2.91E+00
3.231631e-02,8.912855e+00,-2.48E-01
3.237858e-02,2.866342e+00,-9.33E-02
3.244085e-02,5.121552e+00,-1.40E+00
3.250311e-02,1.307060e+01,-3.03E+00
3.256538e-02,1.193777e+01,-4.68E-01
3.262765e-02,2.555024e+01,9.083505e-01
3.268991e-02,7.146026e+00,-2.26E+00
3.275218e-02,2.342286e+01,-2.15E+00
3.281445e-02,4.402023e+00,-1.92E+00
3.287671e-02,2.134836e+01,1.331786e+00
3.293898e-02,1.378986e+01,-2.69E+00
3.300125e-02,9.536728e+00,-2.17E+00
3.306351e-02,1.788390e+01,-3.06E+00
3.312578e-02,7.548627e+00,2.732534e+00
3.318804e-02,1.618988e+01,-2.85E+00
3.325031e-02,1.937209e+01,7.075637e-01
3.331258e-02,2.283531e+01,1.921062e+00
3.337484e-02,1.242186e+01,1.154970e+00
3.343711e-02,1.823293e+01,1.497935e+00
3.349938e-02,8.489777e+00,-2.59E-02
3.356164e-02,8.069163e+00,2.806456e-01
3.362391e-02,6.252703e+00,-2.92E+00
3.368618e-02,8.272930e+00,4.789595e-01
3.374844e-02,1.148357e+01,-2.02E+00
3.381071e-02,1.269328e+01,2.527643e+00
3.387298e-02,6.417596e+00,5.080707e-01
3.393524e-02,9.233336e+00,2.308080e+00
3.399751e-02,1.338056e+01,2.278158e+00
3.405978e-02,5.254272e+00,2.460708e+00
3.412204e-02,1.706698e+01,2.163514e+00
3.418431e-02,1.276605e+01,3.918384e-01
3.424658e-02,1.228224e+01,-3.10E+00
3.430884e-02,1.413237e+00,-3.07E+00
3.437111e-02,8.812456e+00,7.598304e-01
3.443337e-02,1.217354e+01,-2.49E-01
3.449564e-02,1.434915e+01,2.631357e+00
3.455791e-02,5.522494e+00,1.744900e+00
3.462017e-02,1.591584e+00,2.145379e+00
3.468244e-02,9.809461e+00,2.992047e+00
3.474471e-02,1.940510e+01,1.037921e+00
3.480697e-02,5.482196e+00,1.877238e+00
3.486924e-02,1.315006e+01,-9.61E-02
3.493151e-02,1.887550e+01,2.116118e+00
3.499377e-02,2.628282e+00,-1.49E+00
3.505604e-02,2.483239e+01,9.080429e-01
3.511831e-02,4.149882e+00,-4.41E-01
3.518057e-02,1.104163e+01,-6.49E-01
3.524284e-02,3.720525e+00,3.027366e+00
3.530511e-02,9.401195e+00,-2.50E+00
3.536737e-02,6.798395e+00,-1.94E+00
3.542964e-02,1.223824e+01,2.323277e+00
3.549191e-02,1.922401e+01,-2.66E+00
3.555417e-02,3.982201e+00,2.764273e+00
3.561644e-02,3.747457e+00,2.491244e+00
3.567870e-02,2.509359e+01,2.166996e+00
3.574097e-02,7.072564e+00,2.024196e+00
3.580324e-02,1.168881e+01,-2.48E+00
3.586550e-02,1.572723e+01,1.772649e+00
3.592777e-02,1.258569e+01,2.094385e+00
3.599004e-02,3.833802e+00,2.927038e+00
3.605230e-02,7.777470e+00,7.507997e-01
3.611457e-02,6.467561e+00,-1.08E+00
